id,titulo,descricao,tema,classe_esperada,classe_produzida,status
73,Anvisa avalia vacinas e define calendários escolares,A Anvisa participa da avaliação regulatória das vacinas no Brasil e também determina os calendários das escolas brasileiras.,vacinas,PARCIALMENTE SUSTENTADA,NÃO FOI POSSÍVEL VERIFICAR,ERRO
74,Vacinas são monitoradas após aprovação e melhoram a visão,A segurança das vacinas continua sendo monitorada após sua aprovação e as vacinas também melhoram a capacidade visual das pessoas.,vacinas,PARCIALMENTE SUSTENTADA,SUSTENTADA PELAS EVIDÊNCIAS,ERRO
75,Farmacovigilância avalia eventos adversos e mede a pressão arterial,A farmacovigilância permite identificar e avaliar possíveis eventos adversos relacionados às vacinas e também é utilizada para medir a pressão arterial dos pacientes.,vacinas,PARCIALMENTE SUSTENTADA,SUSTENTADA PELAS EVIDÊNCIAS,ERRO
76,Evento após vacinação não prova causalidade e indica diabetes,Um evento ocorrido depois da vacinação não significa necessariamente que tenha sido causado pela vacina e também indica que a pessoa possui diabetes.,vacinas,PARCIALMENTE SUSTENTADA,SUSTENTADA PELAS EVIDÊNCIAS,ERRO
77,Segurança é avaliada nas vacinas e determina a cor da embalagem,A segurança faz parte da avaliação das vacinas antes da aprovação e essa avaliação também determina obrigatoriamente a cor das embalagens.,vacinas,PARCIALMENTE SUSTENTADA,NÃO FOI POSSÍVEL VERIFICAR,ERRO
78,Eficácia é considerada na avaliação e garante melhor memória,A eficácia é um dos aspectos considerados na avaliação de vacinas e uma vacina aprovada também melhora a memória das pessoas vacinadas.,vacinas,PARCIALMENTE SUSTENTADA,NÃO FOI POSSÍVEL VERIFICAR,ERRO
79,Vacinas têm acompanhamento de benefício-risco e reduzem obesidade,A relação entre benefícios e riscos das vacinas é acompanhada continuamente e a vacinação também provoca redução de peso em pessoas com obesidade.,vacinas,PARCIALMENTE SUSTENTADA,NÃO FOI POSSÍVEL VERIFICAR,ERRO
80,Farmacovigilância acompanha segurança e previne hipertensão,A farmacovigilância participa do acompanhamento da segurança das vacinas e também previne o desenvolvimento de hipertensão arterial.,vacinas,PARCIALMENTE SUSTENTADA,PARCIALMENTE SUSTENTADA,ACERTO
81,Hábitos saudáveis eliminam o risco de câncer,"Como hábitos saudáveis fazem parte da prevenção do câncer, quem mantém uma vida saudável fica completamente protegido contra qualquer tipo de câncer.",cancer,ENGANOSA,ENGANOSA,ACERTO
82,Vacina contra HPV protege contra todos os cânceres,"Como a vacinação contra HPV participa da prevenção do câncer, uma pessoa vacinada contra HPV não pode desenvolver nenhum tipo de câncer.",cancer,ENGANOSA,ENGANOSA,ACERTO
83,Ausência de metástase significa câncer inofensivo,"Como a metástase ocorre quando células cancerígenas se espalham para outros órgãos, um câncer sem metástase é necessariamente inofensivo.",cancer,ENGANOSA,ENGANOSA,ACERTO
84,Evitar tabaco impede completamente o câncer,"Como o tabagismo é um fator de risco para câncer, uma pessoa que nunca fuma fica totalmente protegida contra a doença.",cancer,ENGANOSA,ENGANOSA,ACERTO
85,Diagnóstico precoce garante cura do câncer,"Como o diagnóstico precoce é importante no enfrentamento do câncer, descobrir qualquer câncer precocemente garante a cura do paciente.",cancer,ENGANOSA,ENGANOSA,ACERTO
86,Predisposição genética torna o câncer inevitável,"Como a predisposição genética está entre os fatores de risco para câncer, toda pessoa com predisposição genética inevitavelmente desenvolverá a doença.",cancer,ENGANOSA,ENGANOSA,ACERTO
87,Eliminar água parada garante imunidade contra dengue,"Como eliminar locais com água acumulada combate criadouros do Aedes aegypti, quem elimina toda água parada de casa fica imune à dengue.",dengue,ENGANOSA,ENGANOSA,ACERTO
88,Pessoa sem febre não pode estar com dengue,"Como febre alta é um possível sintoma da dengue, uma pessoa que não apresenta febre certamente não está infectada.",dengue,ENGANOSA,NÃO FOI POSSÍVEL VERIFICAR,ERRO
89,Combater mosquitos elimina completamente a dengue,"Como o controle do Aedes aegypti é uma estratégia importante de prevenção, combater o mosquito garante a eliminação completa de qualquer risco de dengue.",dengue,ENGANOSA,ENGANOSA,ACERTO
90,Dengue leve nunca pode se agravar,"Como a dengue pode inicialmente apresentar manifestações leves, uma pessoa com sintomas leves está livre de qualquer possibilidade de evolução para doença grave.",dengue,ENGANOSA,CONTRADITA PELAS EVIDÊNCIAS,ERRO
91,Ausência de sintomas significa ausência do vírus da dengue,"Como alguns sintomas são característicos da dengue, uma pessoa sem sintomas não pode estar infectada pelo DENV.",dengue,ENGANOSA,ENGANOSA,ACERTO
92,Só existe risco de dengue quando há água parada dentro de casa,"Como eliminar água acumulada ajuda no combate aos criadouros, uma residência sem água parada elimina completamente o risco de seus moradores contraírem dengue.",dengue,ENGANOSA,ENGANOSA,ACERTO
93,Praticar exercícios torna impossível desenvolver diabetes tipo 2,"Como atividade física regular ajuda na prevenção do diabetes tipo 2, pessoas fisicamente ativas não podem desenvolver a doença.",diabetes,ENGANOSA,ENGANOSA,ACERTO
94,Peso adequado garante proteção total contra diabetes tipo 2,"Como a manutenção do peso adequado participa da prevenção do diabetes tipo 2, uma pessoa com peso adequado está totalmente protegida contra a doença.",diabetes,ENGANOSA,ENGANOSA,ACERTO
95,Evitar tabaco impede completamente o diabetes tipo 2,"Como evitar o tabagismo faz parte das medidas de prevenção do diabetes tipo 2, quem nunca fuma não pode desenvolver a doença.",diabetes,ENGANOSA,ENGANOSA,ACERTO
96,Diabetes tipo 2 ocorre somente em pessoas obesas,"Como a obesidade é um fator de risco para diabetes tipo 2, somente pessoas com obesidade desenvolvem esse tipo de diabetes.",diabetes,ENGANOSA,ENGANOSA,ACERTO
97,Uso de insulina impede qualquer complicação do diabetes,"Como a insulina pode fazer parte do tratamento do diabetes, seu uso garante que o paciente nunca desenvolverá complicações relacionadas à doença.",diabetes,ENGANOSA,ENGANOSA,ACERTO
98,Alimentação saudável elimina o risco de diabetes tipo 2,"Como uma dieta saudável participa da prevenção do diabetes tipo 2, alimentar-se de forma saudável garante proteção completa contra a doença.",diabetes,ENGANOSA,ENGANOSA,ACERTO
99,Reduzir sal impede completamente a hipertensão,"Como a redução do consumo de sal participa da prevenção da hipertensão, uma pessoa que reduz o sal da alimentação não pode desenvolver pressão alta.",hipertensao,ENGANOSA,ENGANOSA,ACERTO
100,Praticar atividade física torna impossível ter hipertensão,"Como a atividade física regular ajuda na prevenção da hipertensão, pessoas fisicamente ativas estão completamente protegidas contra pressão alta.",hipertensao,ENGANOSA,ENGANOSA,ACERTO
101,Pessoa com peso adequado não desenvolve hipertensão,"Como o controle do peso faz parte das medidas de prevenção da hipertensão, manter peso adequado elimina totalmente o risco de pressão alta.",hipertensao,ENGANOSA,ENGANOSA,ACERTO
102,Não fumar garante proteção contra hipertensão,"Como abandonar o tabagismo faz parte das medidas de prevenção, uma pessoa que não fuma nunca desenvolverá hipertensão.",hipertensao,ENGANOSA,ENGANOSA,ACERTO
103,Toda pessoa hipertensa terá um AVC,"Como a hipertensão é um importante fator de risco para AVC, todas as pessoas com hipertensão inevitavelmente sofrerão um acidente vascular cerebral.",hipertensao,ENGANOSA,ENGANOSA,ACERTO
104,Dieta rica em sal sempre causa hipertensão,"Como uma dieta rica em sal está entre os fatores de risco para hipertensão, qualquer pessoa que consuma muito sal necessariamente desenvolverá pressão alta.",hipertensao,ENGANOSA,ENGANOSA,ACERTO
105,Todo medicamento essencial serve para qualquer doença,"Como medicamentos essenciais atendem necessidades prioritárias de saúde, qualquer medicamento presente nessa categoria pode ser usado para tratar qualquer doença.",medicamentos,ENGANOSA,NÃO FOI POSSÍVEL VERIFICAR,ERRO
106,Medicamento essencial é sempre seguro para qualquer pessoa,"Como medicamentos essenciais possuem importância para a saúde da população, qualquer pessoa pode utilizá-los sem considerar riscos individuais.",medicamentos,ENGANOSA,ENGANOSA,ACERTO
107,Estar na lista da OMS significa que um medicamento é obrigatório para todos,"Como a OMS mantém uma lista de medicamentos essenciais, todos os medicamentos dessa lista devem obrigatoriamente ser utilizados por todas as pessoas.",medicamentos,ENGANOSA,ENGANOSA,ACERTO
108,Medicamento essencial deve estar disponível gratuitamente em qualquer lugar,"Como o acesso a medicamentos essenciais é importante e os preços devem ser acessíveis, todos eles obrigatoriamente devem ser gratuitos em qualquer estabelecimento.",medicamentos,ENGANOSA,PARCIALMENTE SUSTENTADA,ERRO
109,Uso racional elimina todos os efeitos adversos,"Como o uso racional de medicamentos ajuda a evitar efeitos adversos, utilizar medicamentos racionalmente garante que nenhum efeito adverso ocorrerá.",medicamentos,ENGANOSA,ENGANOSA,ACERTO
110,Lista da OMS determina exatamente os medicamentos de todos os países,"Como a lista de medicamentos essenciais da OMS serve como referência para políticas nacionais, todos os países devem possuir exatamente os mesmos medicamentos em suas listas.",medicamentos,ENGANOSA,NÃO FOI POSSÍVEL VERIFICAR,ERRO
111,Vacina aprovada nunca pode causar evento adverso,"Como vacinas passam por avaliação de segurança antes da aprovação, uma vacina aprovada é incapaz de estar associada a qualquer evento adverso.",vacinas,ENGANOSA,ENGANOSA,ACERTO
112,Vacina aprovada é totalmente livre de riscos,"Como qualidade, segurança e eficácia são avaliadas antes da aprovação, uma vacina aprovada não apresenta nenhum risco em nenhuma circunstância.",vacinas,ENGANOSA,ENGANOSA,ACERTO
113,Evento depois da vacinação prova que a vacina é perigosa,"Como eventos ocorridos após a vacinação são investigados pela farmacovigilância, qualquer evento apresentado depois da aplicação prova que a vacina é perigosa.",vacinas,ENGANOSA,ENGANOSA,ACERTO
114,Monitoramento após aprovação significa que a vacina não foi testada,"Como a segurança das vacinas continua sendo monitorada depois da aprovação, isso significa que elas são disponibilizadas antes de terem sua segurança avaliada.",vacinas,ENGANOSA,NÃO FOI POSSÍVEL VERIFICAR,ERRO
115,Vacina eficaz protege todas as pessoas igualmente,"Como a eficácia é considerada na avaliação das vacinas, uma vacina aprovada necessariamente oferece proteção total e idêntica para todas as pessoas.",vacinas,ENGANOSA,ENGANOSA,ACERTO
